Actions: [(5,), (6,), (1,), (2,), (4,), (3,), (5, 6), (5, 1), (5, 2), (5, 4), (5, 3), (6, 1), (6, 2), (6, 4), (6, 3), (1, 2), (1, 4), (1, 3), (2, 4), (2, 3), (4, 3)]
Episode 0 of 40000
         2505781 function calls (2451342 primitive calls) in 20.422 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  571/462    0.001    0.000    0.006    0.000 copy.py:259(_reconstruct)
      285    0.001    0.000    0.047    0.000 sre_parse.py:944(parse)
     4798    0.001    0.000    0.001    0.000 artist.py:1563(<genexpr>)
      462    0.001    0.000    0.004    0.000 copy.py:66(copy)
      800    0.001    0.000    0.006    0.000 dll.py:283(bind_function)
       24    0.001    0.000    0.003    0.000 util.py:186(_collapse_string_to_ranges)
       58    0.001    0.000    0.002    0.000 enum.py:222(<setcomp>)
     3513    0.001    0.000    0.002    0.000 sre_parse.py:250(match)
     3057    0.001    0.000    0.001    0.000 typing.py:1022(<genexpr>)
     3560    0.001    0.000    0.001    0.000 sre_parse.py:161(__len__)
     2190    0.001    0.000    0.006    0.000 abc.py:117(__instancecheck__)
     3545    0.001    0.000    0.001    0.000 {method 'values' of 'collections.OrderedDict' objects}
      973    0.001    0.000    0.017    0.000 __init__.py:711(__setitem__)
      494    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
      791    0.001    0.000    0.001    0.000 __init__.py:690(_get)
     3013    0.001    0.000    0.001    0.000 inspect.py:2969(<genexpr>)
      877    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
 3538/834    0.001    0.000    0.001    0.000 __init__.py:353(recursive_subclasses)
     1026    0.001    0.000    0.002    0.000 __init__.py:89(find_spec)
     1812    0.001    0.000    0.002    0.000 typing.py:137(_type_convert)
      237    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
   1319/6    0.001    0.000    1.581    0.264 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      956    0.001    0.000    0.001    0.000 {built-in method _ctypes.POINTER}
      478    0.001    0.000    0.002    0.000 posixpath.py:71(join)
     1463    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1925    0.001    0.000    0.001    0.000 typing.py:1273(<genexpr>)
     1684    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
      243    0.001    0.000    0.001    0.000 core.py:461(__init__)
     2686    0.001    0.000    0.001    0.000 util.py:189(is_consecutive)
     5940    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       94    0.001    0.000    0.014    0.000 __init__.py:1391(_preprocess_data)
     2181    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
      144    0.001    0.000    0.002    0.000 typing.py:1284(__hash__)
      895    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      356    0.001    0.000    0.003    0.000 inspect.py:663(_finddoc)
   306/12    0.001    0.000    0.004    0.000 core.py:809(_parseNoCache)
     6150    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      169    0.001    0.000    0.002    0.000 colors.py:310(_to_rgba_no_colorcycle)
     3714    0.001    0.000    0.001    0.000 shape_base.py:77(_atleast_2d_dispatcher)
        1    0.001    0.001    0.031    0.031 __init__.py:68(bootstrap)
     7710    0.001    0.000    0.001    0.000 inspect.py:2687(name)
     5355    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      358    0.001    0.000    0.002    0.000 typing_extensions.py:183(_collect_type_vars)
      388    0.001    0.000    0.002    0.000 typing.py:253(_deduplicate)
     2161    0.001    0.000    0.001    0.000 typing.py:1031(__eq__)
      877    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      905    0.001    0.000    0.001    0.000 lr_scheduler.py:141(__init__)
     2124    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      105    0.001    0.000    0.303    0.003 artist.py:159(_update_set_signature_and_docstring)
      136    0.001    0.000    0.033    0.000 _docstring.py:38(__call__)
      370    0.001    0.000    0.001    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
      964    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
    444/1    0.001    0.000    0.004    0.004 copy.py:128(deepcopy)
      960    0.001    0.000    0.002    0.000 os.py:675(__getitem__)
      894    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      160    0.001    0.000    0.001    0.000 shape_base.py:612(column_stack)
